xDId,xDNumPoints,xDUsuId,xDSdk,xDSerie,xDAndroV,xDManufact
152,217,162,26,SM-C5000,Oreo - 8,Samsung
155,54,165,27,SNE-LX3,Oreo - 8,Huawei
156,97,166,26,ATU-L21,Oreo - 8,Huawei
646,2,653,24,Redmi Note 4,Nougat - 7,Xiaomi
158,22,168,27,SM-J730G,Oreo - 8,Samsung
159,165,169,26,SM-G570M,Oreo - 8,Samsung
660,1,667,24,SM-G950F,Nougat - 7,Samsung
161,372,171,26,ANE-LX3,Oreo - 8,Huawei
986,5,986,24,SM-G925F,Nougat - 7,Samsung
163,68,173,27,SM-J701M,Oreo - 8,Samsung
166,42,176,26,SM-G9600,Oreo - 8,Samsung
286,2,295,24,E6683,Nougat - 7,Sony
477,10,486,25,Redmi 4A,Nougat - 7,Xiaomi
933,7,936,24,SM-N920T,Nougat - 7,Samsung
992,11,992,24,SM-G925I,Nougat - 7,Samsung
171,130,181,26,RNE-L23,Oreo - 8,Huawei
434,13,443,25,Redmi 5A,Nougat - 7,Xiaomi
348,15,357,24,SM-G930F,Nougat - 7,Samsung
793,6,797,24,SM-G950F,Nougat - 7,Samsung
177,107,187,26,SM-G935T,Oreo - 8,Samsung
639,22,646,24,TRT-L53,Nougat - 7,Huawei
179,15,189,27,SM-G610M,Oreo - 8,Samsung
180,2732,190,26,ANE-LX3,Oreo - 8,Huawei
710,24,715,24,Redmi Note 4,Nougat - 7,Xiaomi
185,70,195,27,SM-J710MN,Oreo - 8,Samsung
791,34,795,25,Redmi 4A,Nougat - 7,Xiaomi
187,45,197,26,SM-J600G,Oreo - 8,Samsung
188,211,198,26,ANE-LX3,Oreo - 8,Huawei
840,10,843,25,SM-J250M,Nougat - 7,Samsung
190,1176,200,26,SM-A520F,Oreo - 8,Samsung
192,1219,202,26,F8331,Oreo - 8,Sony
193,71,203,26,SM-G935F,Oreo - 8,Samsung
194,1073,204,26,XT1710-02,Oreo - 8,Motorola
195,75,205,26,SM-G950F,Oreo - 8,Samsung
346,53,355,24,SM-G950U,Nougat - 7,Samsung
198,20,208,27,SM-G610F,Oreo - 8,Samsung
199,52,209,27,SM-G610M,Oreo - 8,Samsung
528,16,537,25,SM-J250M,Nougat - 7,Samsung
202,142,212,27,SNE-LX3,Oreo - 8,Huawei
203,23,213,26,FIG-LX3,Oreo - 8,Huawei
204,525,214,26,FLA-LX3,Oreo - 8,Huawei
205,2879,215,26,ANE-LX3,Oreo - 8,Huawei
206,33,216,27,SM-J530G,Oreo - 8,Samsung
207,86,217,26,BLA-A09,Oreo - 8,Huawei
209,10,219,26,SM-G611M,Oreo - 8,Samsung
210,446,220,26,FLA-LX3,Oreo - 8,Huawei
211,824,221,26,SM-N950F,Oreo - 8,Samsung
212,126,222,26,ANE-LX3,Oreo - 8,Huawei
954,23,956,24,Redmi Note 4,Nougat - 7,Xiaomi
325,49,334,25,SM-J250M,Nougat - 7,Samsung
215,13,225,26,SM-N950F,Oreo - 8,Samsung
216,15,226,27,SNE-LX3,Oreo - 8,Huawei
219,19,229,26,G3223,Oreo - 8,Sony
220,1726,230,26,FIG-LX3,Oreo - 8,Huawei
221,15,231,26,FIG-LX3,Oreo - 8,Huawei
222,65,232,26,SM-J600G,Oreo - 8,Samsung
223,91,233,26,SM-G950F,Oreo - 8,Samsung
224,96,234,26,RNE-L03,Oreo - 8,Huawei
225,197,235,26,SM-A520F,Oreo - 8,Samsung
226,48,236,26,ANE-LX3,Oreo - 8,Huawei
227,8,237,27,SM-J730G,Oreo - 8,Samsung
228,5,238,26,FIG-LX3,Oreo - 8,Huawei
229,55,239,26,SM-J810M,Oreo - 8,Samsung
230,13,240,27,TA-1053,Oreo - 8,Nokia
231,10,241,22,C6903,Lollipop - 5,Sony
233,178,243,26,SM-A720F,Oreo - 8,Samsung
234,22,244,26,ANE-LX2,Oreo - 8,Huawei
235,5,245,26,ANE-LX3,Oreo - 8,Huawei
236,49,246,26,ANE-LX3,Oreo - 8,Huawei
240,56,250,27,SM-J710MN,Oreo - 8,Samsung
189,54,199,24,HTC Desire 550,Nougat - 7,HTC
243,2,253,27,Redmi Note 5,Oreo - 8,Xiaomi
652,18,659,25,SM-J250M,Nougat - 7,Samsung
245,93,255,25,Redmi 4X,Nougat - 7,Xiaomi
246,105,225,26,SM-G960F,Oreo - 8,Samsung
247,8634,256,22,SM-G800F,Lollipop - 5,Samsung
436,10,445,23,SM-A500M,Marshmallow - 6,Samsung
486,19,495,23,4034A,Marshmallow - 6,Alcatel
253,73,262,26,RNE-L23,Oreo - 8,Huawei
463,25,472,23,BLL-L23,Marshmallow - 6,Huawei
272,278,281,26,SM-J720M,Oreo - 8,Samsung
274,24,283,27,Redmi Note 6 Pro,Oreo - 8,Xiaomi
275,16150,284,22,SM-J111M,Lollipop - 5,Samsung
277,10860,286,22,X1,Lollipop - 5,Vivo
214,186,224,24,Alcatel_5044R,Nougat - 7,Alcatel
279,563,288,26,FIG-LX3,Oreo - 8,Huawei
280,141,289,27,DRA-LX3,Oreo - 8,Huawei
281,43,290,26,ANE-LX3,Oreo - 8,Huawei
284,134,293,27,SM-J530G,Oreo - 8,Samsung
321,23,330,23,LG-X230,Marshmallow - 6,LG
489,140,498,24,SM-A510M,Nougat - 7,Samsung
785,131,790,25,SM-J250M,Nougat - 7,Samsung
706,278,711,25,TA-1039,Nougat - 7,Nokia
291,664,300,26,ANE-LX3,Oreo - 8,Huawei
292,23,301,27,SM-G610M,Oreo - 8,Samsung
542,26,551,23,SM-J106B,Marshmallow - 6,Samsung
357,11,366,23,6055B,Marshmallow - 6,Alcatel
337,306,346,24,G3313,Nougat - 7,Sony
298,3039,307,26,FLA-LX3,Oreo - 8,Huawei
186,307,196,24,TRT-L53,Nougat - 7,Huawei
301,401,310,22,SM-J111M,Lollipop - 5,Samsung
734,63,739,23,SM-J500M,Marshmallow - 6,Samsung
304,1180,313,21,SM-G900V,Lollipop - 5,Samsung
302,59,311,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
307,187,316,27,SM-G610M,Oreo - 8,Samsung
1015,138,1014,25,H3321,Nougat - 7,Sony
565,63,574,23,SM-J106B,Marshmallow - 6,Samsung
310,387,319,22,SM-J320M,Lollipop - 5,Samsung
968,46,970,23,4034A,Marshmallow - 6,Alcatel
312,186,321,22,SM-J200M,Lollipop - 5,Samsung
603,402,610,24,SM-G935F,Nougat - 7,Samsung
316,1262,325,26,FIG-LX3,Oreo - 8,Huawei
318,7265,327,21,ALE-L23,Lollipop - 5,Huawei
319,16,328,26,SM-G570M,Oreo - 8,Samsung
320,2474,329,22,SM-G360T1,Lollipop - 5,Samsung
352,69,361,23,SM-J500M,Marshmallow - 6,Samsung
497,55,506,23,SM-C5000,Marshmallow - 6,Samsung
323,341,332,26,RNE-L23,Oreo - 8,Huawei
313,430,322,25,SM-J250M,Nougat - 7,Samsung
725,591,730,24,SM-G610M,Nougat - 7,Samsung
327,22,336,26,SM-J600G,Oreo - 8,Samsung
929,66,932,23,SM-J700H,Marshmallow - 6,Samsung
329,43,338,26,SM-G570M,Oreo - 8,Samsung
331,62,340,22,HUAWEI LUA-L03,Lollipop - 5,Huawei
336,126,345,26,SM-A720F,Oreo - 8,Samsung
391,325,400,25,E5803,Nougat - 7,Sony
338,315,347,21,SM-G530H,Lollipop - 5,Samsung
572,224,581,24,Redmi Note 4,Nougat - 7,Xiaomi
341,40,350,27,SM-J530G,Oreo - 8,Samsung
342,3,351,22,HUAWEI CUN-U29,Lollipop - 5,Huawei
345,62,354,26,ATU-LX3,Oreo - 8,Huawei
290,690,299,24,F3113,Nougat - 7,Sony
488,575,497,24,HUAWEI CAN-L13,Nougat - 7,Huawei
162,474,172,24,E6603,Nougat - 7,Sony
349,5,358,27,SM-J710MN,Oreo - 8,Samsung
351,35,360,26,SM-A910F,Oreo - 8,Samsung
594,94,601,23,MYA-L23,Marshmallow - 6,Huawei
395,557,404,24,SM-J730G,Nougat - 7,Samsung
354,18,363,26,ANE-LX3,Oreo - 8,Huawei
930,121,933,23,SM-G532M,Marshmallow - 6,Samsung
800,122,804,23,SM-G532M,Marshmallow - 6,Samsung
358,452,367,22,BLU Advance 5.0,Lollipop - 5,Blu
823,84,827,23,SM-G610F,Marshmallow - 6,Samsung
360,1,369,26,RNE-L23,Oreo - 8,Huawei
361,252,370,21,ALE-L23,Lollipop - 5,Huawei
1025,275,1024,24,G3313,Nougat - 7,Sony
169,601,179,25,Mi A1,Nougat - 7,Xiaomi
364,603,373,21,ALE-L23,Lollipop - 5,Huawei
365,67,374,26,SM-J600G,Oreo - 8,Samsung
366,36,375,27,SM-G610M,Oreo - 8,Samsung
367,132,376,26,PRA-LX3,Oreo - 8,Huawei
368,880,377,24,SM-J701M,Nougat - 7,Samsung
369,17,378,26,ANE-LX3,Oreo - 8,Huawei
492,180,501,23,SM-G570F,Marshmallow - 6,Samsung
372,64,381,26,SM-G570M,Oreo - 8,Samsung
374,235,383,27,SM-J710MN,Oreo - 8,Samsung
305,187,314,25,SM-J250M,Nougat - 7,Samsung
160,1015,170,25,E5803,Nougat - 7,Sony
390,405,399,24,F3113,Nougat - 7,Sony
381,14,390,27,Redmi S2,Oreo - 8,Xiaomi
382,368,391,26,TA-1025,Oreo - 8,Nokia
383,18,392,22,SM-J320M,Lollipop - 5,Samsung
385,525,394,26,SM-A600GN,Oreo - 8,Samsung
388,88,397,26,FIG-LX1,Oreo - 8,Huawei
389,1559,398,26,ANE-LX3,Oreo - 8,Huawei
515,263,524,25,SM-T550,Nougat - 7,Samsung
731,993,736,24,SM-G610M,Nougat - 7,Samsung
392,1,401,26,RNE-L23,Oreo - 8,Huawei
393,994,402,22,SM-J200H,Lollipop - 5,Samsung
289,876,298,24,E6683,Nougat - 7,Sony
984,1225,984,24,LG-M400,Nougat - 7,LG
429,39,438,22,C1,Lollipop - 5,Realme
431,97,440,26,FIG-LX3,Oreo - 8,Huawei
432,2405,441,22,GO1005,Lollipop - 5,TomTom
778,667,783,25,SM-J510MN,Nougat - 7,Samsung
435,186,444,26,G3123,Oreo - 8,Sony
359,151,368,23,MYA-L23,Marshmallow - 6,Huawei
437,16,446,21,SM-G900F,Lollipop - 5,Samsung
438,102,447,27,SM-G610M,Oreo - 8,Samsung
441,122,450,27,SM-J730GM,Oreo - 8,Samsung
442,308,451,26,ATU-LX3,Oreo - 8,Huawei
444,21,453,27,SM-J530G,Oreo - 8,Samsung
445,132,454,26,LDN-LX3,Oreo - 8,Huawei
454,74,463,26,SM-A520F,Oreo - 8,Samsung
455,31,464,27,SNE-LX3,Oreo - 8,Huawei
456,86,465,26,SM-G570M,Oreo - 8,Samsung
460,21,469,27,MI 8 Lite,Oreo - 8,Xiaomi
462,136,471,27,SM-G610M,Oreo - 8,Samsung
665,267,672,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
464,23,473,26,PRA-LX3,Oreo - 8,Huawei
969,1300,971,24,LG-M400,Nougat - 7,LG
466,38,475,27,SM-J710MN,Oreo - 8,Samsung
467,25,476,26,SM-G570M,Oreo - 8,Samsung
470,994,479,21,ALE-L23,Lollipop - 5,Huawei
472,88,481,26,SM-G930T1,Oreo - 8,Samsung
473,10,482,26,HTC U Ultra,Oreo - 8,HTC
475,119,484,26,ANE-LX3,Oreo - 8,Huawei
801,1464,805,24,LG-M400,Nougat - 7,LG
271,194,280,23,SM-J106B,Marshmallow - 6,Samsung
935,141,938,23,SM-J500M,Marshmallow - 6,Samsung
491,339,500,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
482,13,491,26,SM-A600GN,Oreo - 8,Samsung
556,388,565,23,SM-J700H,Marshmallow - 6,Samsung
654,904,661,24,SM-G570M,Nougat - 7,Samsung
340,977,349,25,SM-J250M,Nougat - 7,Samsung
478,235,487,23,SM-G532M,Marshmallow - 6,Samsung
538,250,547,23,D6503,Marshmallow - 6,Sony
493,4,502,27,SNE-LX3,Oreo - 8,Huawei
494,84,503,27,SM-G610M,Oreo - 8,Samsung
495,48,504,27,SM-J500M,Oreo - 8,Samsung
306,80,315,23,SM-G900M,Marshmallow - 6,Samsung
498,134,507,21,ALE-L23,Lollipop - 5,Huawei
499,9,508,27,Redmi Note 5,Oreo - 8,Xiaomi
502,10,511,27,SNE-LX3,Oreo - 8,Huawei
503,123,512,26,ANE-LX3,Oreo - 8,Huawei
504,118,513,22,SM-J700M,Lollipop - 5,Samsung
505,930,514,22,SM-J110M,Lollipop - 5,Samsung
506,615,515,26,G3123,Oreo - 8,Sony
507,34,516,26,RNE-L23,Oreo - 8,Huawei
183,1110,193,24,LG-M400,Nougat - 7,LG
985,1987,985,24,LG-M400,Nougat - 7,LG
516,123,525,26,SM-J400M,Oreo - 8,Samsung
523,197,532,26,SM-J400M,Oreo - 8,Samsung
525,17,534,26,ANE-LX3,Oreo - 8,Huawei
526,1,535,22,SM-J320M,Lollipop - 5,Samsung
529,289,538,26,SM-G955F,Oreo - 8,Samsung
531,46,540,26,PRA-LX3,Oreo - 8,Huawei
535,59,544,26,RNE-L23,Oreo - 8,Huawei
661,578,668,23,E5606,Marshmallow - 6,Sony
1024,625,1023,23,SM-G610M,Marshmallow - 6,Samsung
784,500,789,23,E2306,Marshmallow - 6,Sony
640,995,647,23,SM-G532M,Marshmallow - 6,Samsung
541,24,550,27,SM-J530G,Oreo - 8,Samsung
673,979,680,23,SM-G532M,Marshmallow - 6,Samsung
543,909,552,26,BAC-L23,Oreo - 8,Huawei
544,733,553,21,SM-G530H,Lollipop - 5,Samsung
545,375,554,26,ANE-LX3,Oreo - 8,Huawei
547,48,556,27,SNE-LX3,Oreo - 8,Huawei
636,1956,643,24,G3313,Nougat - 7,Sony
551,9,560,27,Redmi 5 Plus,Oreo - 8,Xiaomi
553,160,562,26,SM-G570M,Oreo - 8,Samsung
554,52,563,26,SM-G570M,Oreo - 8,Samsung
997,259,997,23,BLL-L23,Marshmallow - 6,Huawei
561,6,570,26,SM-G950F,Oreo - 8,Samsung
328,1233,337,23,SM-G532M,Marshmallow - 6,Samsung
588,1056,597,23,D6603,Marshmallow - 6,Sony
567,19,576,26,ANE-LX3,Oreo - 8,Huawei
